seed,method,online_accuracy,cum_regret,regret_per_decision,online_accuracy_weekday,online_accuracy_on-call,online_accuracy_off-hours,regret_weekday,regret_on-call,regret_off-hours
0,Base,0.37083333333333335,80.89094743823424,0.33704561432597596,0.5125,0.3125,0.2875,16.607970137200354,38.45749489570144,25.825482405332416
0,ICL,0.375,81.56651706884476,0.3398604877868532,0.5125,0.325,0.2875,16.36545907395087,39.56553154576567,25.635526449128218
0,RAG,0.3958333333333333,80.77268736325091,0.33655286401354545,0.5125,0.3625,0.3125,19.706220186096708,37.051954904314485,24.014512272839692
0,Online-SFT,0.42916666666666664,92.21073450015632,0.38421139375065133,0.4625,0.425,0.4,22.75841021946103,37.0580094348865,32.3943148458088
0,Online-SDFT,0.575,48.24271890172028,0.20101132875716785,0.5,0.55,0.675,23.257837190019302,17.205549697416608,7.7793320142843845
1,Base,0.4,79.89275243527808,0.3328864684803253,0.6,0.325,0.275,10.42088783419728,40.06618251766748,29.40568208341333
1,ICL,0.38333333333333336,82.45773455845892,0.34357389399357885,0.6,0.275,0.275,10.667130199185547,42.445464128528855,29.34514023074453
1,RAG,0.37916666666666665,87.98124288689704,0.36658851202873766,0.575,0.275,0.2875,16.131609429299317,42.759599377283855,29.090034080313927
1,Online-SFT,0.4041666666666667,111.2357192293245,0.46348216345551874,0.55,0.25,0.4125,24.59276492408954,55.20816288866073,31.434791416574246
1,Online-SDFT,0.675,40.82923858456218,0.17012182743567575,0.575,0.625,0.825,14.232438953802852,22.632384223027806,3.9644154077315155
2,Base,0.3416666666666667,83.71485007216859,0.34881187530070246,0.4375,0.375,0.2125,13.71778953501145,39.340995997571945,30.656064539585216
2,ICL,0.3541666666666667,80.92286623730797,0.3371786093221166,0.45,0.4375,0.175,13.421682821867693,35.14392316635659,32.3572602490837
2,RAG,0.38333333333333336,76.13804609223392,0.3172418587176413,0.45,0.425,0.275,13.189710868378368,33.44279036434053,29.50554485951502
2,Online-SFT,0.3416666666666667,105.00325842154498,0.43751357675643743,0.3875,0.275,0.3625,26.18263009509395,45.01321118991227,33.80741713653869
2,Online-SDFT,0.625,40.91918582870902,0.1704966076196209,0.4125,0.65,0.8125,23.637002572465793,13.144680902898997,4.137502353344216
